MätplatsID;Namn;Vägnummer;Kommun
14093030;Tunnelmitt västgående;E6.21;Göteborg
14093040;Infart västgående tunnelrör;E6.21;Göteborg
14094010;Tunnelmitt norrgående;E6.20;Göteborg
14094020;Tunnelmitt södergående;E6.20;Göteborg
14095010;Järpås norrgående;187;Lidköping
14095020;Järpås södergående;187;Lidköping
14096010;Valstad västgående;193;Tidaholm
14096020;Valstad östgående;193;Tidaholm
14097010;Forsby västgående;194;Skövde
14097020;Forsby östgående;194;Skövde
14098010;Lunnareberget västergående;2022;Lilla Edet
14098020;Lunnareberget östergående;2022;Lilla Edet
14099010;Fagersanna västgående;49;Tibro
14099020;Fagersanna östgående;49;Tibro
14100010;Högaliden;503;Mölndal
14100020;Gapakullen;503;Mölndal
14100030;Löjsåker östergående körriktning;503;Mölndal
14100040;Löjsåker västergående körriktning;503;Mölndal
14102010;Öjersjö södergående körriktning;535;Härryda
14102020;Öjersjö norrgående körriktning;535;Härryda
